('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         447995 function calls (432797 primitive calls) in 1.086 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      151    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
      151    0.000    0.000    0.050    0.000 sre_parse.py:937(parse)
      148    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
      142    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
    141/4    0.000    0.000    0.156    0.039 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
      136    0.000    0.000    0.000    0.000 css_parser.py:371(__init__)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:387(_freeze_relations)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:397(freeze)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      134    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      133    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(acquire)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
      131    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      125    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      125    0.000    0.000    0.005    0.000 sre_parse.py:96(closegroup)
      123    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      122    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
  121/104    0.000    0.000    0.000    0.000 typing.py:755(__hash__)
      120    0.000    0.000    0.000    0.000 os.py:758(decode)
      113    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      109    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
      109    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:156(__enter__)
      109    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
    109/3    0.000    0.000    0.157    0.052 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
    109/3    0.000    0.000    0.157    0.052 <frozen importlib._bootstrap>:1002(_find_and_load)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
      108    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:901(_find_spec)
      108    0.000    0.000    0.000    0.000 _virtualenv.py:54(find_spec)
      105    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      105    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
      105    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
      105    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
