('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         448159 function calls (432937 primitive calls) in 1.680 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       67    0.000    0.000    0.002    0.000 _htmlparser.py:107(handle_startendtag)
     1261    0.003    0.000    0.022    0.000 _htmlparser.py:122(handle_starttag)
     1261    0.001    0.000    0.010    0.000 _htmlparser.py:177(handle_endtag)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:18(HTMLParseError)
      427    0.000    0.000    0.000    0.000 _htmlparser.py:195(handle_data)
        1    0.000    0.000    0.004    0.004 _htmlparser.py:2(<module>)
        2    0.000    0.000    0.000    0.000 _htmlparser.py:238(handle_entityref)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:257(handle_comment)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:266(handle_decl)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:301(HTMLParserTreeBuilder)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:314(__init__)
        2    0.000    0.000    0.001    0.001 _htmlparser.py:342(prepare_markup)
        1    0.000    0.000    0.068    0.068 _htmlparser.py:391(feed)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:56(BeautifulSoupHTMLParser)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:66(__init__)
        1    0.000    0.000    0.000    0.000 _lxml.py:2(<module>)
        1    0.000    0.000    0.001    0.001 _markupbase.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _markupbase.py:168(parse_comment)
        1    0.000    0.000    0.000    0.000 _markupbase.py:23(ParserBase)
        1    0.000    0.000    0.000    0.000 _markupbase.py:36(reset)
     1261    0.000    0.000    0.000    0.000 _markupbase.py:40(getpos)
     4916    0.002    0.000    0.003    0.000 _markupbase.py:48(updatepos)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:207(AddrlistClass)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:508(AddressList)
        1    0.000    0.000    0.011    0.011 _policybase.py:1(<module>)
       10    0.000    0.000    0.000    0.000 _policybase.py:104(<genexpr>)
        1    0.000    0.000    0.000    0.000 _policybase.py:112(Policy)
        1    0.000    0.000    0.000    0.000 _policybase.py:18(_PolicyBase)
        1    0.000    0.000    0.000    0.000 _policybase.py:271(Compat32)
        6    0.000    0.000    0.000    0.000 _policybase.py:281(_sanitize_header)
       17    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
        6    0.000    0.000    0.000    0.000 _policybase.py:311(header_fetch_parse)
        1    0.000    0.000    0.000    0.000 _policybase.py:41(__init__)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
      108    0.000    0.000    0.000    0.000 _virtualenv.py:54(find_spec)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:37(__init__)
        3    0.000    0.000    0.000    0.000 _weakrefset.py:86(add)
       18    0.000    0.000    0.000    0.000 abc.py:105(__new__)
     4570    0.001    0.000    0.002    0.000 abc.py:117(__instancecheck__)
        2    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
        9    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
        1    0.000    0.000    0.010    0.010 api.py:1(<module>)
        1    0.000    0.000    0.001    0.001 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 base64mime.py:5(<module>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bz2.py:27(BZ2File)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:148(Calendar)
        1    0.000    0.000    0.000    0.000 calendar.py:154(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:160(setfirstweekday)
        1    0.000    0.000    0.000    0.000 calendar.py:24(IllegalMonthError)
        1    0.000    0.000    0.000    0.000 calendar.py:293(TextCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:31(IllegalWeekdayError)
        1    0.000    0.000    0.000    0.000 calendar.py:410(HTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:50(_localized_month)
        1    0.000    0.000    0.000    0.000 calendar.py:52(<listcomp>)
        1    0.000    0.000    0.000    0.000 calendar.py:546(different_locale)
        2    0.000    0.000    0.000    0.000 calendar.py:55(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:558(LocaleTextCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:589(LocaleHTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:69(_localized_day)
        1    0.000    0.000    0.000    0.000 calendar.py:72(<listcomp>)
        2    0.000    0.000    0.000    0.000 calendar.py:74(__init__)
        1    0.000    0.000    0.010    0.010 cd.py:1(<module>)
        1    0.000    0.000    0.000    0.000 charset.py:167(Charset)
        2    0.000    0.000    0.000    0.000 charset.py:211(__init__)
        1    0.000    0.000    0.001    0.001 charset.py:5(<module>)
        1    0.000    0.000    0.021    0.021 client.py:1(<module>)
        5    0.000    0.000    0.000    0.000 client.py:1010(_output)
        1    0.000    0.000    0.118    0.118 client.py:1031(_send_output)
        1    0.000    0.000    0.000    0.000 client.py:107(<dictcomp>)
        1    0.000    0.000    0.000    0.000 client.py:1085(putrequest)
        1    0.000    0.000    0.000    0.000 client.py:1212(_encode_request)
        1    0.000    0.000    0.000    0.000 client.py:1216(_validate_method)
        1    0.000    0.000    0.000    0.000 client.py:1225(_validate_path)
        1    0.000    0.000    0.000    0.000 client.py:1233(_validate_host)
        4    0.000    0.000    0.000    0.000 client.py:1241(putheader)
        1    0.000    0.000    0.118    0.118 client.py:1269(endheaders)
        1    0.000    0.000    0.118    0.118 client.py:1282(request)
        1    0.000    0.000    0.118    0.118 client.py:1287(_send_request)
        4    0.000    0.000    0.000    0.000 client.py:1289(<genexpr>)
        1    0.000    0.000    0.976    0.976 client.py:1333(getresponse)
        1    0.000    0.000    0.000    0.000 client.py:1401(HTTPSConnection)
        1    0.000    0.000    0.001    0.001 client.py:1408(__init__)
        1    0.000    0.000    0.118    0.118 client.py:1444(connect)
        1    0.000    0.000    0.000    0.000 client.py:1459(HTTPException)
        1    0.000    0.000    0.000    0.000 client.py:1464(NotConnected)
        1    0.000    0.000    0.000    0.000 client.py:1467(InvalidURL)
        1    0.000    0.000    0.000    0.000 client.py:1470(UnknownProtocol)
        1    0.000    0.000    0.000    0.000 client.py:1475(UnknownTransferEncoding)
        1    0.000    0.000    0.000    0.000 client.py:1478(UnimplementedFileMode)
        1    0.000    0.000    0.000    0.000 client.py:1481(IncompleteRead)
        1    0.000    0.000    0.000    0.000 client.py:1495(ImproperConnectionState)
        1    0.000    0.000    0.000    0.000 client.py:1498(CannotSendRequest)
        1    0.000    0.000    0.000    0.000 client.py:1501(CannotSendHeader)
        1    0.000    0.000    0.000    0.000 client.py:1504(ResponseNotReady)
        1    0.000    0.000    0.000    0.000 client.py:1507(BadStatusLine)
        1    0.000    0.000    0.000    0.000 client.py:1514(LineTooLong)
        1    0.000    0.000    0.000    0.000 client.py:1519(RemoteDisconnected)
        1    0.000    0.000    0.000    0.000 client.py:178(HTTPMessage)
        1    0.000    0.000    0.000    0.000 client.py:208(_read_headers)
        1    0.000    0.000    0.001    0.001 client.py:226(parse_headers)
        1    0.000    0.000    0.000    0.000 client.py:241(HTTPResponse)
        1    0.000    0.000    0.000    0.000 client.py:250(__init__)
        1    0.000    0.000    0.976    0.976 client.py:280(_read_status)
        1    0.000    0.000    0.976    0.976 client.py:313(begin)
        1    0.000    0.000    0.000    0.000 client.py:385(_check_close)
        1    0.000    0.000    0.000    0.000 client.py:414(_close_conn)
        1    0.000    0.000    0.000    0.000 client.py:419(close)
        1    0.000    0.000    0.000    0.000 client.py:431(flush)
        1    0.000    0.000    0.339    0.339 client.py:452(read)
        2    0.000    0.000    0.000    0.000 client.py:518(_read_next_chunk_size)
        1    0.000    0.000    0.000    0.000 client.py:534(_read_and_discard_trailer)
        2    0.000    0.000    0.000    0.000 client.py:548(_get_chunk_left)
        1    0.000    0.000    0.339    0.339 client.py:572(_readall_chunked)
        2    0.000    0.000    0.339    0.169 client.py:610(_safe_read)
        1    0.000    0.000    0.000    0.000 client.py:753(info)
        1    0.000    0.000    0.000    0.000 client.py:795(HTTPConnection)
        1    0.000    0.000    0.000    0.000 client.py:811(_get_content_length)
        1    0.000    0.000    0.000    0.000 client.py:843(__init__)
        1    0.000    0.000    0.000    0.000 client.py:889(_get_hostport)
        1    0.000    0.000    0.000    0.000 client.py:909(set_debuglevel)
        1    0.000    0.000    0.059    0.059 client.py:944(connect)
        1    0.000    0.000    0.000    0.000 client.py:958(close)
        1    0.000    0.000    0.118    0.118 client.py:972(send)
        1    0.000    0.000    0.000    0.000 codecs.py:94(__new__)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
       98    0.000    0.000    0.000    0.000 constant.py:336(<lambda>)
        9    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
        1    0.000    0.000    0.009    0.009 css_match.py:1(<module>)
        1    0.000    0.000    0.000    0.000 css_match.py:1498(SoupSieve)
        1    0.000    0.000    0.000    0.000 css_match.py:378(Inputs)
        1    0.000    0.000    0.000    0.000 css_match.py:481(CSSMatch)
        1    0.000    0.000    0.000    0.000 css_match.py:58(_FakeParent)
        1    0.000    0.000    0.000    0.000 css_match.py:78(_DocumentNav)
        1    0.000    0.000    0.064    0.064 css_parser.py:1(<module>)
       52    0.000    0.000    0.003    0.000 css_parser.py:1113(<listcomp>)
      325    0.001    0.000    0.004    0.000 css_parser.py:1115(selector_iter)
       14    0.000    0.000    0.014    0.001 css_parser.py:1156(process_selectors)
      308    0.000    0.000    0.001    0.000 css_parser.py:250(css_unescape)
        1    0.000    0.000    0.000    0.000 css_parser.py:305(SelectorPattern)
       15    0.000    0.000    0.031    0.002 css_parser.py:308(__init__)
      311    0.000    0.000    0.000    0.000 css_parser.py:314(get_name)
     2251    0.001    0.000    0.002    0.000 css_parser.py:319(match)
        1    0.000    0.000    0.000    0.000 css_parser.py:325(SpecialPseudoPattern)
        1    0.000    0.000    0.016    0.016 css_parser.py:328(__init__)
        1    0.000    0.000    0.000    0.000 css_parser.py:341(get_name)
      273    0.000    0.000    0.000    0.000 css_parser.py:346(match)
        1    0.000    0.000    0.000    0.000 css_parser.py:362(_Selector)
      136    0.000    0.000    0.000    0.000 css_parser.py:371(__init__)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:387(_freeze_relations)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:397(freeze)
        1    0.000    0.000    0.033    0.033 css_parser.py:431(CSSParser)
       14    0.000    0.000    0.000    0.000 css_parser.py:461(__init__)
       77    0.000    0.000    0.004    0.000 css_parser.py:474(parse_attribute_selector)
       69    0.000    0.000    0.001    0.000 css_parser.py:544(parse_tag_pattern)
    42/30    0.000    0.000    0.010    0.000 css_parser.py:581(parse_pseudo_class)
        1    0.000    0.000    0.000    0.000 css_parser.py:676(parse_pseudo_nth)
    38/29    0.000    0.000    0.010    0.000 css_parser.py:741(parse_pseudo_open)
       84    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
    52/14    0.001    0.000    0.014    0.001 css_parser.py:925(parse_selectors)
        1    0.000    0.000    0.004    0.004 css_types.py:1(<module>)
        1    0.000    0.000    0.000    0.000 css_types.py:147(Namespaces)
        1    0.000    0.000    0.000    0.000 css_types.py:165(CustomSelectors)
        1    0.000    0.000    0.000    0.000 css_types.py:183(Selector)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
        1    0.000    0.000    0.000    0.000 css_types.py:234(SelectorNull)
